,Year,Month,Day,State,Latitude,Longitude,Suburb
2466,1993,6,3,Queensland,-15.885646,143.479457,Palmer (Qld)
2467,1994,11,19,Queensland,-27.406739,152.809403,Enoggera Reservoir
2468,1998,2,1,Queensland,-25.211012,153.014936,Fraser Island
2469,1983,8,1,Queensland,-17.737778,139.415556,Nicholson (Qld)
2470,1993,8,5,Queensland,-27.540076,152.276079,Gatton
2471,1992,10,11,Queensland,-27.606736,153.176065,Sheldon
2472,2002,12,5,Queensland,-26.616086,152.848875,Gheerulla
2473,2004,11,13,Queensland,-25.995718,149.070887,Durham Downs
2474,2015,3,12,Queensland,-21.63806,148.09512,Burton (Qld)
2475,1993,4,5,Queensland,-12.710161,143.323283,Iron Range
2476,2014,12,7,Queensland,-16.805517,145.636068,Kuranda
2477,2007,4,20,Queensland,-19.202556,146.05514,Paluma
2478,2016,6,6,Queensland,-25.350556,152.491944,Cherwell
2479,2014,4,8,Queensland,-18.70555,138.68393,Lawn Hill
2480,1972,1,1,Queensland,-27.931667,152.984444,Gleneagle
2481,1994,1,1,Queensland,-23.556773,148.159434,Emerald (Qld)
2482,1994,7,29,Queensland,-20.798283,148.543751,Bloomsbury
2483,2014,4,7,Queensland,-18.70555,138.68393,Lawn Hill
2484,1974,1,1,Queensland,-14.548333,143.876111,Lakefield
2485,1992,8,1,Queensland,-24.106751,150.509411,Dumgree
2486,1993,5,24,Queensland,-12.712161,143.31895,Iron Range
2487,2020,2,18,Queensland,-26.06525,152.234104,Kilkivan
2488,2001,2,15,Queensland,-24.327684,149.118873,Goomally
2489,1992,9,6,Queensland,-27.456736,153.176064,Manly (Qld)
2490,1994,12,6,Queensland,-27.65257,153.013568,Larapinta (Qld)
